Date,Weight (lbs),Body Fat %,Total Delta,Sorted Weight,Sorted BF%
2021-01-01,142,10.00%,,137,9.10%
2021-01-02,142,9.80%,,138,9.20%
2021-01-03,142,9.90%,,138,9.20%
2021-01-04,141,9.90%,,138,9.20%
2021-01-05,140,9.80%,,138,9.20%
2021-01-06,140,9.70%,,138,9.20%
2021-01-07,140,9.70%,,138,9.30%
2021-01-08,140,9.70%,,138,9.30%
2021-01-09,142,9.90%,,138,9.30%
2021-01-10,140,9.80%,,138,9.30%
2021-01-11,141,9.80%,,138,9.30%
2021-01-12,141,9.90%,,138,9.30%
2021-01-13,140,9.60%,,139,9.40%
2021-01-14,142,9.90%,,139,9.40%
2021-01-15,141,9.90%,,139,9.50%
2021-01-16,140,9.70%,,139,9.50%
2021-01-17,140,9.80%,,139,9.50%
2021-01-18,140,9.80%,,139,9.50%
2021-01-19,141,9.70%,,139,9.50%
2021-01-20,141,9.80%,,139,9.50%
2021-01-21,141,9.80%,,139,9.50%
2021-01-22,141,10.00%,,139,9.50%
2021-01-23,141,9.90%,,139,9.50%
2021-01-24,142,10.00%,,140,9.50%
2021-01-25,142,10.10%,,140,9.60%
2021-01-26,140,9.70%,,140,9.60%
2021-01-27,141,9.70%,,140,9.60%
2021-01-28,141,9.90%,,140,9.60%
2021-01-29,141,9.80%,,140,9.60%
2021-01-30,142,9.90%,,140,9.60%
2021-01-31,141,9.80%,,140,9.60%
2021-02-01,141,9.90%,,140,9.60%
2021-02-02,141,9.80%,,140,9.60%
2021-02-03,141,9.90%,,140,9.60%
2021-02-04,141,9.90%,,140,9.60%
2021-02-05,142,10.10%,,140,9.60%
2021-02-06,142,10.10%,,140,9.60%
2021-02-07,141,9.80%,,140,9.60%
2021-02-08,141,9.90%,,140,9.60%
2021-02-09,142,9.90%,,140,9.60%
2021-02-10,142,10.00%,,140,9.60%
2021-02-11,141,9.80%,,140,9.60%
2021-02-12,142,10.10%,,140,9.60%
2021-02-13,142,10.20%,,140,9.60%
2021-02-14,144,10.30%,,140,9.60%
2021-02-15,142,10.10%,,140,9.60%
2021-02-16,141,9.90%,,140,9.70%
2021-02-17,140,9.60%,,140,9.70%
2021-02-18,140,9.70%,,140,9.70%
2021-02-19,141,9.80%,,140,9.70%
2021-02-20,141,9.80%,,140,9.70%
2021-02-21,142,10.20%,,140,9.70%
2021-02-22,143,10.30%,,140,9.70%
2021-02-23,141,9.90%,,140,9.70%
2021-02-24,140,9.70%,,140,9.70%
2021-02-25,140,9.70%,,140,9.70%
2021-02-26,140,9.90%,,140,9.70%
2021-02-27,144,10.30%,,140,9.70%
2021-02-28,142,10.10%,,140,9.70%
2021-03-01,143,10.30%,,140,9.70%
2021-03-02,142,10.10%,,140,9.70%
2021-03-03,143,10.30%,,140,9.70%
2021-03-04,142,10.10%,,140,9.70%
2021-03-05,143,10.30%,,140,9.70%
2021-03-06,143,10.30%,,140,9.70%
2021-03-07,143,10.50%,,140,9.70%
2021-03-08,142,10.10%,,140,9.70%
2021-03-09,141,10.00%,,140,9.70%
2021-03-10,142,10.10%,,140,9.70%
2021-03-11,141,9.90%,,140,9.70%
2021-03-12,141,9.80%,,140,9.70%
2021-03-13,142,9.90%,,140,9.70%
2021-03-14,142,10.10%,,140,9.70%
2021-03-15,144,10.60%,,140,9.70%
2021-03-16,142,10.00%,,140,9.70%
2021-03-17,141,9.90%,,140,9.70%
2021-03-18,142,9.90%,,140,9.70%
2021-03-19,142,10.00%,,140,9.70%
2021-03-20,143,10.20%,,140,9.70%
2021-03-21,143,10.40%,,140,9.70%
2021-03-22,144,10.50%,,140,9.70%
2021-03-23,142,10.10%,,140,9.70%
2021-03-24,141,9.90%,,140,9.70%
2021-03-25,142,10.10%,,140,9.70%
2021-03-26,142,10.10%,,140,9.70%
2021-03-27,140,9.70%,,140,9.70%
2021-03-28,142,10.00%,,140,9.70%
2021-03-29,144,10.50%,,140,9.70%
2021-03-30,142,10.10%,,140,9.70%
2021-03-31,140,9.70%,,140,9.70%
2021-04-01,140,9.80%,,140,9.80%
2021-04-02,140,9.70%,,140,9.80%
2021-04-03,141,9.90%,,140,9.80%
2021-04-04,143,10.20%,,140,9.80%
2021-04-05,144,10.50%,,140,9.80%
2021-04-06,142,10.20%,,140,9.80%
2021-04-07,141,10.00%,,140,9.80%
2021-04-08,141,9.80%,,140,9.80%
2021-04-09,141,10.00%,,140,9.80%
2021-04-10,141,9.90%,,140,9.80%
2021-04-11,141,10.00%,,140,9.80%
2021-04-12,143,10.40%,,140,9.80%
2021-04-13,142,10.20%,,140,9.80%
2021-04-14,142,10.10%,,140,9.80%
2021-04-15,141,9.90%,,140,9.80%
2021-04-16,141,10.00%,,140,9.80%
2021-04-17,141,10.00%,,140,9.80%
2021-04-18,141,9.90%,,141,9.80%
2021-04-19,143,10.20%,,141,9.80%
2021-04-20,141,10.00%,,141,9.80%
2021-04-21,141,9.90%,,141,9.80%
2021-04-22,140,9.80%,,141,9.80%
2021-04-23,140,9.80%,,141,9.80%
2021-04-24,140,9.80%,,141,9.80%
2021-04-25,142,10.20%,,141,9.80%
2021-04-26,142,10.10%,,141,9.80%
2021-04-27,143,10.20%,,141,9.80%
2021-04-28,140,9.90%,,141,9.80%
2021-04-29,140,9.80%,,141,9.80%
2021-04-30,141,9.80%,,141,9.80%
2021-05-01,140,9.70%,,141,9.80%
2021-05-02,142,10.20%,,141,9.80%
2021-05-03,142,10.20%,,141,9.80%
2021-05-04,141,10.00%,,141,9.80%
2021-05-05,142,10.00%,,141,9.80%
2021-05-06,141,10.00%,,141,9.80%
2021-05-07,140,9.90%,,141,9.80%
2021-05-08,140,9.80%,,141,9.80%
2021-05-09,142,10.30%,,141,9.80%
2021-05-10,142,10.10%,,141,9.80%
2021-05-11,142,10.00%,,141,9.80%
2021-05-12,142,10.00%,,141,9.80%
2021-05-13,141,9.90%,,141,9.80%
2021-05-14,142,10.20%,,141,9.80%
2021-05-15,141,9.80%,,141,9.80%
2021-05-16,143,10.40%,,141,9.90%
2021-05-17,142,10.30%,,141,9.90%
2021-05-18,142,10.10%,,141,9.90%
2021-05-19,141,10.00%,,141,9.90%
2021-05-20,142,10.20%,,141,9.90%
2021-05-21,142,10.10%,,141,9.90%
2021-05-22,141,10.00%,,141,9.90%
2021-05-23,141,9.90%,,141,9.90%
2021-05-24,142,10.20%,,141,9.90%
2021-05-25,142,10.10%,,141,9.90%
2021-05-26,141,10.00%,,141,9.90%
2021-05-27,142,10.10%,,141,9.90%
2021-05-28,143,10.40%,,141,9.90%
2021-05-29,142,10.10%,,141,9.90%
2021-05-30,146,10.10%,,141,9.90%
2021-05-31,147,11.20%,,141,9.90%
2021-06-01,144,10.50%,,141,9.90%
2021-06-02,143,10.40%,,141,9.90%
2021-06-03,142,10.20%,,141,9.90%
2021-06-04,141,10.10%,,141,9.90%
2021-06-05,142,10.00%,,141,9.90%
2021-06-06,143,10.30%,,141,9.90%
2021-06-07,143,10.30%,,141,9.90%
2021-06-08,141,9.80%,,141,9.90%
2021-06-09,141,10.00%,,141,9.90%
2021-06-10,142,10.00%,,141,9.90%
2021-06-11,141,9.80%,,141,9.90%
2021-06-12,140,9.70%,,141,9.90%
2021-06-13,140,9.70%,,141,9.90%
2021-06-14,142,10.20%,,141,9.90%
2021-06-15,142,10.00%,,141,9.90%
2021-06-16,140,9.70%,,141,9.90%
2021-06-17,139,9.60%,,141,9.90%
2021-06-18,139,9.60%,,141,9.90%
2021-06-19,140,9.80%,,141,9.90%
2021-06-20,142,10.10%,,141,9.90%
2021-06-21,142,10.10%,,141,9.90%
2021-06-22,143,10.40%,,141,9.90%
2021-06-23,141,9.90%,,141,9.90%
2021-06-24,140,9.80%,,141,9.90%
2021-06-25,140,9.70%,,141,9.90%
2021-06-26,140,9.70%,,141,9.90%
2021-06-27,142,10.00%,,141,9.90%
2021-06-28,141,10.10%,,141,9.90%
2021-06-29,141,9.90%,,141,9.90%
2021-06-30,141,10.00%,,141,9.90%
2021-07-01,141,9.90%,,141,9.90%
2021-07-02,141,9.90%,,141,9.90%
2021-07-03,142,10.20%,,141,9.90%
2021-07-04,142,10.20%,,141,10.00%
2021-07-05,141,10.00%,,141,10.00%
2021-07-06,141,9.80%,,141,10.00%
2021-07-07,140,9.70%,,141,10.00%
2021-07-08,141,9.90%,,141,10.00%
2021-07-09,141,9.90%,,141,10.00%
2021-07-10,141,9.90%,,141,10.00%
2021-07-11,140,9.70%,,141,10.00%
2021-07-12,142,10.10%,,141,10.00%
2021-07-13,142,10.10%,,141,10.00%
2021-07-14,141,10.10%,,141,10.00%
2021-07-15,141,10.10%,,141,10.00%
2021-07-16,142,10.00%,,141,10.00%
2021-07-17,142,10.20%,,141,10.00%
2021-07-18,142,10.00%,,141,10.00%
2021-07-19,141,9.90%,,141,10.00%
2021-07-20,141,9.80%,,141,10.00%
2021-07-21,141,9.80%,,142,10.00%
